Movimiento Natural de la Población (Resultados Provisionales)
Matrimonios
Matrimonios por provincia de residencia del matrimonio, mes de celebración y forma de celebración del matrimonio
Unidades: matrimonios

;Enero;;;;;Febrero;;;;;Marzo;;;;;Abril;;;;;Mayo;;;;;Junio;;;;;Julio;;;;;Agosto;;;;;Septiembre;;;;;Octubre;;;;;Noviembre;;;;;Diciembre;;;;;Total;;;;;
;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;Total;Según la religión católica;Exclusivamente civil;Según otra religión;No consta;
Málaga;154.0;7.0;146.0;..;1.0;264.0;11.0;252.0;1.0;..;358.0;41.0;311.0;6.0;..;380.0;74.0;302.0;2.0;2.0;452.0;89.0;358.0;4.0;1.0;810.0;251.0;545.0;4.0;10.0;766.0;235.0;521.0;2.0;8.0;473.0;154.0;313.0;3.0;3.0;981.0;390.0;580.0;7.0;4.0;590.0;177.0;412.0;1.0;..;347.0;38.0;308.0;..;1.0;286.0;29.0;255.0;2.0;..;5861.0;1496.0;4303.0;32.0;30.0;
Murcia;194.0;15.0;178.0;1.0;..;216.0;29.0;185.0;1.0;1.0;412.0;108.0;303.0;1.0;..;429.0;169.0;254.0;4.0;2.0;434.0;125.0;306.0;3.0;..;706.0;256.0;442.0;7.0;1.0;463.0;145.0;314.0;4.0;..;179.0;65.0;112.0;1.0;1.0;777.0;350.0;422.0;5.0;..;662.0;291.0;365.0;5.0;1.0;390.0;108.0;280.0;2.0;..;290.0;65.0;224.0;1.0;..;5152.0;1726.0;3385.0;35.0;6.0;
Navarra;60.0;4.0;53.0;1.0;2.0;97.0;5.0;91.0;..;1.0;129.0;20.0;108.0;..;1.0;148.0;42.0;102.0;2.0;2.0;198.0;41.0;153.0;2.0;2.0;364.0;89.0;270.0;..;5.0;285.0;74.0;205.0;..;6.0;231.0;63.0;164.0;..;4.0;389.0;123.0;261.0;..;5.0;214.0;66.0;144.0;1.0;3.0;110.0;12.0;93.0;1.0;4.0;102.0;13.0;88.0;..;1.0;2327.0;552.0;1732.0;7.0;36.0;
Ourense;25.0;1.0;24.0;..;..;28.0;..;27.0;..;1.0;41.0;3.0;35.0;..;3.0;58.0;9.0;47.0;..;2.0;66.0;18.0;47.0;..;1.0;87.0;25.0;56.0;..;6.0;140.0;47.0;80.0;..;13.0;132.0;54.0;65.0;..;13.0;105.0;39.0;52.0;1.0;13.0;68.0;19.0;46.0;..;3.0;35.0;3.0;29.0;..;3.0;32.0;2.0;29.0;..;1.0;817.0;220.0;537.0;1.0;59.0;
Palencia;9.0;1.0;8.0;..;..;15.0;..;15.0;..;..;16.0;1.0;15.0;..;..;26.0;6.0;20.0;..;..;43.0;9.0;34.0;..;..;63.0;21.0;41.0;..;1.0;88.0;37.0;49.0;1.0;1.0;75.0;37.0;35.0;..;3.0;87.0;39.0;46.0;1.0;1.0;45.0;10.0;34.0;..;1.0;20.0;2.0;17.0;..;1.0;15.0;2.0;13.0;..;..;502.0;165.0;327.0;2.0;8.0;
Palmas, Las;151.0;4.0;143.0;..;4.0;173.0;13.0;151.0;1.0;8.0;251.0;33.0;183.0;..;35.0;248.0;52.0;188.0;..;8.0;348.0;36.0;292.0;5.0;15.0;404.0;63.0;320.0;1.0;20.0;537.0;117.0;409.0;..;11.0;275.0;76.0;183.0;4.0;12.0;538.0;128.0;400.0;1.0;9.0;417.0;87.0;306.0;4.0;20.0;302.0;37.0;253.0;2.0;10.0;208.0;19.0;177.0;3.0;9.0;3852.0;665.0;3005.0;21.0;161.0;
Pontevedra;101.0;4.0;97.0;..;..;110.0;7.0;103.0;..;..;180.0;14.0;160.0;..;6.0;226.0;38.0;187.0;..;1.0;290.0;46.0;236.0;2.0;6.0;368.0;72.0;241.0;1.0;54.0;423.0;130.0;285.0;..;8.0;379.0;114.0;256.0;1.0;8.0;526.0;146.0;367.0;1.0;12.0;304.0;59.0;242.0;2.0;1.0;169.0;13.0;155.0;1.0;..;186.0;14.0;172.0;..;..;3262.0;657.0;2501.0;8.0;96.0;
Rioja, La;31.0;3.0;28.0;..;..;33.0;..;33.0;..;..;55.0;9.0;45.0;1.0;..;63.0;12.0;50.0;1.0;..;79.0;14.0;63.0;2.0;..;149.0;53.0;96.0;..;..;151.0;52.0;99.0;..;..;126.0;38.0;87.0;1.0;..;155.0;51.0;102.0;..;2.0;82.0;26.0;56.0;..;..;46.0;9.0;37.0;..;..;73.0;7.0;66.0;..;..;1043.0;274.0;762.0;5.0;2.0;
Salamanca;24.0;..;24.0;..;..;29.0;4.0;25.0;..;..;35.0;3.0;32.0;..;..;55.0;12.0;43.0;..;..;113.0;34.0;78.0;1.0;..;146.0;52.0;94.0;..;..;214.0;111.0;101.0;..;2.0;134.0;74.0;60.0;..;..;188.0;75.0;109.0;2.0;2.0;76.0;23.0;53.0;..;..;42.0;6.0;36.0;..;..;33.0;..;33.0;..;..;1089.0;394.0;688.0;3.0;4.0;
Santa Cruz de Tenerife;152.0;8.0;144.0;..;..;181.0;18.0;163.0;..;..;231.0;21.0;210.0;..;..;222.0;50.0;167.0;1.0;4.0;306.0;53.0;251.0;2.0;..;391.0;74.0;312.0;5.0;..;480.0;115.0;360.0;4.0;1.0;259.0;94.0;164.0;1.0;..;511.0;155.0;352.0;3.0;1.0;339.0;95.0;242.0;2.0;..;271.0;31.0;239.0;1.0;..;237.0;24.0;210.0;1.0;2.0;3580.0;738.0;2814.0;20.0;8.0;
